from_state,to_state,action
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/ca5e53,"set_text <input bound_box=48,580,1032,749>Password</input> dummy_user_input"
08b900/ca5e53,08b900/652978,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/652978,08b900/a096d6,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/a096d6,08b900/a096d6,"touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/a096d6,08b900/b5fe98,"set_text <input bound_box=48,361,1032,530>First Name *</input> dummy_user_input"
08b900/b5fe98,08b900/b5fe98,"touch <button bound_box=48,885,367,942>NOTIFICATIONS</button>"
08b900/b5fe98,08b900/b5fe98,"touch <button bound_box=48,267,329,324>PROFILE INFO</button>"
08b900/b5fe98,08b900/b5fe98,"touch <button bound_box=48,1248,1032,1392>SIGN UP</button>"
08b900/b5fe98,08b900/eb596d,"set_text <input bound_box=48,616,1032,785>Last Name *</input> dummy_user_input"
08b900/eb596d,08b900/b9a01a,"long_touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/b9a01a,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/b4f7f8,08b900/b4f7f8,"long_touch <input bound_box=48,322,1032,491>Email</input>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,322,1032,491>Email</input>"
08b900/b4f7f8,08b900/b4f7f8,"touch <p bound_box=216,116,912,197>Sign Up</p>"
08b900/b4f7f8,08b900/b4f7f8,"unselect <checkbox alt='description' bound_box=888,580,1032,748></checkbox>"
08b900/b4f7f8,08b900/b47d6d,"select <checkbox alt='description' bound_box=888,580,1032,748></checkbox>"
08b900/b47d6d,08b900/5d33a7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5d33a7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>dummy_user_input</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,322,1032,491>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,322,1032,491>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,361,1032,530>dummy_user_input</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,361,1032,530>dummy_user_input</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/5dd7d7,08b900/5dd7d7,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5dd7d7,08b900/5dd7d7,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5dd7d7,08b900/5dd7d7,"long_touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5dd7d7,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/b4f7f8,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"long_touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"long_touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/5810a0,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,580,1032,749>dummy_user_input</input>"
08b900/b4f7f8,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"long_touch <input bound_box=48,616,1032,785>Last Name *</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"long_touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"long_touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/5810a0,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"long_touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/b4f7f8,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/652978,"set_text <input bound_box=48,616,1032,785>dummy_user_input</input> dummy_user_input"
08b900/652978,08b900/a096d6,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/a096d6,08b900/a096d6,"long_touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/a096d6,08b900/a096d6,"long_touch <input bound_box=48,361,1032,530>First Name *</input>"
08b900/a096d6,08b900/b9a01a,"touch <input bound_box=48,979,1032,1148>(None selected)</input>"
08b900/b9a01a,08b900,kill_app
08b900,08b900/72dd87,intent am start com.clowder.sh/me.pinxter.core_clowder.kotlin.other.ui.ActivitySplash
08b900/72dd87,08b900/29cd16,"touch <button bound_box=339,1477,742,1542>CREATE ACCOUNT</button>"
08b900/29cd16,08b900/b4f7f8,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/b4f7f8,08b900/b4f7f8,"touch <input bound_box=48,361,1032,530>dummy_user_input</input>"
08b900/b4f7f8,08b900/5810a0,"set_text <input bound_box=48,322,1032,491>Email</input> dummy_user_input"
08b900/5810a0,08b900/5810a0,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/5810a0,08b900/5810a0,"set_text <input bound_box=48,361,1032,530>dummy_user_input</input> dummy_user_input"
08b900/5810a0,08b900/652978,"set_text <input bound_box=48,616,1032,785>dummy_user_input</input> dummy_user_input"
08b900/652978,08b900/a096d6,"touch <button bound_box=48,945,1032,1089>SIGN UP</button>"
08b900/a096d6,08b900/a096d6,"touch <input bound_box=48,616,1032,785>dummy_user_input</input>"
08b900/a096d6,08b900/a096d6,"long_touch <input bound_box=48,616,1032,785>Last Name *</input>"
