from_state,to_state,action
cf1ede/f00db7,cf1ede/c7637a,"touch <button id=3 bound_box=45,1556,1035,1701>Continue</button>"
cf1ede/c7637a,cf1ede/c7637a,"touch <p id=1 bound_box=60,1089,1020,1209>You can use your camera to scan barcodes, find pan</p>"
cf1ede/c7637a,cf1ede/d5fbe7,"touch <p id=5 bound_box=558,1578,1017,1701>Allow access</p>"
cf1ede/d5fbe7,cf1ede/80d0a2,"touch <p id=6 alt='Cart Tab 3 of 4' bound_box=610,1635,742,1776></p>"
cf1ede/80d0a2,cf1ede/cf1ede,"touch <button id=3 alt='scan it' bound_box=903,96,1035,228></button>"
cf1ede/cf1ede,cf1ede/d5fbe7,intent am start com.amazon.mShop.android.shopping/com.amazon.mShop.home.HomeActivity
cf1ede/d5fbe7,cf1ede/c73bdc,"touch <p id=1 alt='Search' bound_box=66,126,138,198></p>"
cf1ede/c73bdc,cf1ede/4d6552,"touch <button alt='Back' bound_box=0,84,132,216></button>"
cf1ede/4d6552,cf1ede/c73bdc,"touch <p id=2 bound_box=162,96,903,228>Search Amazon</p>"
cf1ede/c73bdc,cf1ede/da867f,"touch <p alt='Search' bound_box=162,114,234,186></p>"
cf1ede/da867f,cf1ede/da867f,"touch <input bound_box=258,81,1047,225>Search Amazon</input>"
cf1ede/da867f,cf1ede/da867f,"long_touch <input bound_box=258,81,1047,225>Search Amazon</input>"
cf1ede/da867f,cf1ede/4d6552,"touch <button alt='Back' bound_box=0,84,132,216></button>"
cf1ede/4d6552,cf1ede/4d6552,"touch <p id=7 bound_box=24,489,1056,663>The webpage at https://www.amazon.com/gp/gw/ajax/m</p>"
cf1ede/4d6552,cf1ede/bcb400,"touch <p id=14 alt='Cart Tab 3 of 4' bound_box=610,1635,742,1776></p>"
cf1ede/bcb400,cf1ede/bf9926,"scroll up <scrollbar id=14 bound_box=81,1629,999,1632></scrollbar>"
cf1ede/bf9926,cf1ede/bf9926,"touch <button id=32 bound_box=984,1629,999,1632>BEACON Gem-Tac Premium Quality Adhesive for Secure</button>"
cf1ede/bf9926,cf1ede/bf9926,"scroll down <scrollbar id=14 bound_box=81,1629,999,1632></scrollbar>"
cf1ede/bf9926,cf1ede/ba0b84,"touch <button id=9 bound_box=348,1038,732,1095>Shop today's deals</button>"
cf1ede/ba0b84,cf1ede/ba0b84,"scroll up <scrollbar id=5 bound_box=0,252,1080,1632>Amazon | Deals</scrollbar>"
cf1ede/ba0b84,cf1ede/bf9926,"touch <button alt='Back' bound_box=0,72,132,252></button>"
cf1ede/bf9926,cf1ede/bf9926,"touch <button6 bound_box=81,1629,495,1632>4.5 out of 5 stars 94 $34.99</button>"
cf1ede/bf9926,cf1ede/bf9926,"touch <button id=26 bound_box=84,1629,492,1632>Ball Wide Mouth Mason Jar Lids 12-Count per Pack (</button>"
cf1ede/bf9926,cf1ede/234731,"touch <p id=39 bound_box=669,1662,695,1719>0</p>"
cf1ede/234731,cf1ede/0b5060,"touch <p id=38 alt='Cart 0 item Tab 3 of 4' bound_box=610,1635,742,1776></p>"
cf1ede/0b5060,cf1ede/8d5152,"touch <p id=38 alt='Cart 0 item Tab 3 of 4' bound_box=610,1635,742,1776></p>"
cf1ede/8d5152,cf1ede/8d5152,"touch <button id=32 bound_box=981,1629,999,1632>4.5 out of 5 stars 6,527 $10.99</button>"
cf1ede/8d5152,cf1ede/8d5152,"touch <button id=30 bound_box=534,1629,807,1632>Add to cart</button>"
cf1ede/8d5152,cf1ede/8d5152,"touch <p id=23 bound_box=81,1629,696,1632>International top sellers</p>"
cf1ede/8d5152,cf1ede/8d5152,"scroll up <scrollbar id=24 bound_box=81,1629,999,1632></scrollbar>"
cf1ede/8d5152,cf1ede/8d5152,"touch <button id=29 bound_box=531,1629,945,1632>4.6 out of 5 stars 495 $24.99</button>"
cf1ede/8d5152,cf1ede/ba0b84,"touch <button id=9 bound_box=348,1038,732,1095>Shop today's deals</button>"
cf1ede/ba0b84,cf1ede,kill_app
cf1ede,cf1ede/2aa8d3,intent am start com.amazon.mShop.android.shopping/com.amazon.mShop.home.HomeActivity
cf1ede/2aa8d3,cf1ede/da867f,"touch <p id=1 alt='Search' bound_box=66,126,138,198></p>"
cf1ede/da867f,cf1ede/da867f,"touch <p alt='Search' bound_box=162,114,234,186></p>"
cf1ede/da867f,cf1ede/cf1ede,"touch <button alt='scan it' bound_box=933,121,1047,175></button>"
cf1ede/cf1ede,cf1ede/fd712a,intent am start com.amazon.mShop.android.shopping/com.amazon.mShop.home.HomeActivity
cf1ede/fd712a,cf1ede/1ed071,"touch <p id=2 bound_box=162,96,903,228>Search Amazon</p>"
cf1ede/1ed071,cf1ede/6d7e0b,"scroll down <scrollbar id=4 bound_box=0,228,1080,1497>Amazon Search Autocomplete</scrollbar>"
cf1ede/6d7e0b,cf1ede/ec6b9e,"touch <button id=500 bound_box=1077,1629,1080,1632>click?ie=UTF8&spc=MTo0MTIyMDgzNDEwNDM5MTgzOjE3MTk4</button>"
